zipcode,sort_code_1,sort_code_2,sort_code_3,sort_code_4,arr_cnpo_nm,deliv_po_nm,course_no
25627,C2,210,06,10,강릉M,강릉,060
25630,C2,210,06,29,강릉M,강릉,060
25620,C2,210,06,09,강릉M,강릉,060
25632,C2,210,06,23,강릉M,강릉,060
25626,C2,210,06,10,강릉M,강릉,060
25628,C2,210,06,11,강릉M,강릉,060
25629,C2,210,06,10,강릉M,강릉,060
25631,C2,210,06,06,강릉M,강릉,060
25618,C2,210,06,09,강릉M,강릉,060
25467,C2,210,02,22,강릉M,강릉,021
25466,C2,210,02,22,강릉M,강릉,021
25460,C2,210,02,22,강릉M,강릉,021
25557,C2,210,02,16,강릉M,강릉,021
25468,C2,210,02,22,강릉M,강릉,021
25556,C2,210,02,16,강릉M,강릉,000
25561,C2,210,03,47,강릉M,강릉,021
25559,C2,210,02,16,강릉M,강릉,021
25560,C2,210,02,31,강릉M,강릉,021
25493,C2,210,04,36,강릉M,강릉,047
25502,C2,210,04,08,강릉M,강릉,045
25495,C2,210,04,23,강릉M,강릉,016
25490,C2,210,04,36,강릉M,강릉,016
25515,C2,210,04,22,강릉M,강릉,047
25473,C2,210,04,36,강릉M,강릉,025
25508,C2,210,04,30,강릉M,강릉,047
25501,C2,210,04,09,강릉M,강릉,045
25510,C2,210,04,30,강릉M,강릉,047
25488,C2,210,04,36,강릉M,강릉,032
25518,C2,210,04,09,강릉M,강릉,045
25503,C2,210,04,07,강릉M,강릉,045
25498,C2,210,04,23,강릉M,강릉,016
25491,C2,210,04,07,강릉M,강릉,045
25531,C2,210,04,07,강릉M,강릉,045
25504,C2,210,04,08,강릉M,강릉,045
25505,C2,210,04,08,강릉M,강릉,045
25506,C2,210,04,09,강릉M,강릉,045
25551,C2,210,04,07,강릉M,강릉,045
25528,C2,210,04,09,강릉M,강릉,045
25494,C2,210,04,08,강릉M,강릉,013
25500,C2,210,04,37,강릉M,강릉,016
25514,C2,210,04,39,강릉M,강릉,045
25511,C2,210,04,22,강릉M,강릉,047
25507,C2,210,04,22,강릉M,강릉,047
25527,C2,210,04,09,강릉M,강릉,045
25517,C2,210,04,39,강릉M,강릉,046
25509,C2,210,04,30,강릉M,강릉,047
25474,C2,210,04,36,강릉M,강릉,016
25513,C2,210,04,30,강릉M,강릉,047
25526,C2,210,04,09,강릉M,강릉,045
25530,C2,210,04,07,강릉M,강릉,045
25475,C2,210,04,23,강릉M,강릉,025
25476,C2,210,04,36,강릉M,강릉,025
25472,C2,210,02,15,강릉M,강릉,025
25529,C2,210,04,07,강릉M,강릉,045
25512,C2,210,04,22,강릉M,강릉,047
25489,C2,210,04,36,강릉M,강릉,032
25499,C2,210,04,23,강릉M,강릉,016
25496,C2,210,04,23,강릉M,강릉,047
25516,C2,210,04,22,강릉M,강릉,047
25465,C2,210,04,30,강릉M,강릉,047
25497,C2,210,04,38,강릉M,강릉,016
25622,C2,210,05,07,강릉M,강릉,050
25624,C2,210,05,12,강릉M,강릉,050
25623,C2,210,05,12,강릉M,강릉,050
25625,C2,210,06,11,강릉M,강릉,060
25621,C2,210,05,27,강릉M,강릉,050
25539,C2,210,01,10,강릉M,강릉,016
25540,C2,210,01,10,강릉M,강릉,016
25541,C2,210,01,05,강릉M,강릉,016
25543,C2,210,01,02,강릉M,강릉,016
